dist, hand, time, fingPair, participant, group
0.30499,1,1,1,1,1
0.38994,1,1,2,1,1
0.48826,1,1,3,1,1
0.47279,1,1,4,1,1
0.16,1,1,5,1,1
0.38359,1,1,6,1,1
0.41263,1,1,7,1,1
0.27094,1,1,8,1,1
0.3487,1,1,9,1,1
0.2029,1,1,10,1,1
0.41809,1,1,1,2,1
0.46009,1,1,2,2,1
0.52829,1,1,3,2,1
0.49557,1,1,4,2,1
0.28615,1,1,5,2,1
0.47362,1,1,6,2,1
0.54394,1,1,7,2,1
0.30487,1,1,8,2,1
0.46772,1,1,9,2,1
0.26833,1,1,10,2,1
0.20255,1,1,1,3,1
0.29937,1,1,2,3,1
0.36847,1,1,3,3,1
0.31325,1,1,4,3,1
0.124,1,1,5,3,1
0.21388,1,1,6,3,1
0.16493,1,1,7,3,1
0.10082,1,1,8,3,1
0.16185,1,1,9,3,1
0.032008,1,1,10,3,1
0.61358,1,1,1,4,1
0.75925,1,1,2,4,1
0.79909,1,1,3,4,1
0.70152,1,1,4,4,1
0.42328,1,1,5,4,1
0.7101,1,1,6,4,1
0.72685,1,1,7,4,1
0.50478,1,1,8,4,1
0.66938,1,1,9,4,1
0.38844,1,1,10,4,1
0.44126,1,1,1,5,1
0.48695,1,1,2,5,1
0.50145,1,1,3,5,1
0.45501,1,1,4,5,1
0.30105,1,1,5,5,1
0.3804,1,1,6,5,1
0.38434,1,1,7,5,1
0.19127,1,1,8,5,1
0.33624,1,1,9,5,1
0.17343,1,1,10,5,1
0.32486,1,1,1,6,1
0.38614,1,1,2,6,1
0.42704,1,1,3,6,1
0.36787,1,1,4,6,1
0.15973,1,1,5,6,1
0.3524,1,1,6,6,1
0.32979,1,1,7,6,1
0.27827,1,1,8,6,1
0.24316,1,1,9,6,1
0.10797,1,1,10,6,1
0.4857,1,1,1,7,1
0.55397,1,1,2,7,1
0.64875,1,1,3,7,1
0.51437,1,1,4,7,1
0.33343,1,1,5,7,1
0.52493,1,1,6,7,1
0.42232,1,1,7,7,1
0.27502,1,1,8,7,1
0.32227,1,1,9,7,1
0.27761,1,1,10,7,1
0.2777,1,1,1,8,1
0.3754,1,1,2,8,1
0.44535,1,1,3,8,1
0.38963,1,1,4,8,1
0.19656,1,1,5,8,1
0.33574,1,1,6,8,1
0.36337,1,1,7,8,1
0.2096,1,1,8,8,1
0.31146,1,1,9,8,1
0.15194,1,1,10,8,1
0.38433,1,1,1,9,1
0.51578,1,1,2,9,1
0.55234,1,1,3,9,1
0.47616,1,1,4,9,1
0.21364,1,1,5,9,1
0.3372,1,1,6,9,1
0.36175,1,1,7,9,1
0.20773,1,1,8,9,1
0.35122,1,1,9,9,1
0.18393,1,1,10,9,1
0.44197,1,1,1,10,1
0.50425,1,1,2,10,1
0.55141,1,1,3,10,1
0.50651,1,1,4,10,1
0.26271,1,1,5,10,1
0.37615,1,1,6,10,1
0.44001,1,1,7,10,1
0.22226,1,1,8,10,1
0.3379,1,1,9,10,1
0.18708,1,1,10,10,1
0.22459,1,1,1,11,1
0.25973,1,1,2,11,1
0.29969,1,1,3,11,1
0.23852,1,1,4,11,1
0.13038,1,1,5,11,1
0.253,1,1,6,11,1
0.26181,1,1,7,11,1
0.15099,1,1,8,11,1
0.19074,1,1,9,11,1
0.10114,1,1,10,11,1
0.41079,1,1,1,12,1
0.63081,1,1,2,12,1
0.68578,1,1,3,12,1
0.61566,1,1,4,12,1
0.34253,1,1,5,12,1
0.49179,1,1,6,12,1
0.51493,1,1,7,12,1
0.1989,1,1,8,12,1
0.36795,1,1,9,12,1
0.3126,1,1,10,12,1
0.38717,1,1,1,13,1
0.55918,1,1,2,13,1
0.63254,1,1,3,13,1
0.62267,1,1,4,13,1
0.35055,1,1,5,13,1
